Array Index: 29	Value: 125
Array Index: 28	Value: 121
Array Index: 27	Value: 117
Array Index: 26	Value: 113
Array Index: 25	Value: 109
Array Index: 24	Value: 105
Array Index: 23	Value: 101
Array Index: 22	Value:  97
Array Index: 21	Value:  93
Array Index: 20	Value:  89
Array Index: 19	Value:  85
Array Index: 18	Value:  81
Array Index: 17	Value:  77
Array Index: 16	Value:  73
Array Index: 15	Value:  69
Array Index: 14	Value:  65
Array Index: 13	Value:  61
Array Index: 12	Value:  57
Array Index: 11	Value:  53
Array Index: 10	Value:  49
Array Index: 9	Value:  45
Array Index: 8	Value:  41
Array Index: 7	Value:  37
Array Index: 6	Value:  33
Array Index: 5	Value:  29
Array Index: 4	Value:  25
Array Index: 3	Value:  21
Array Index: 2	Value:  17
Array Index: 1	Value:  13
Array Index: 0	Value:   9
